phase3bk_rank,decision_tier,expression_hash,candidate_ids,best_horizon_min,factor_lane,fields,max_directional_robust_score,mean_directional_robust_score,best_ic_mean_median,best_ic_direction_share,best_spread_mean,horizon_pass_count,exact_memory_hit,memory_hit_any_in_bj,fresh_eligible_any,family_crowding_count,ops_crowding_count,metric_cluster_id,metric_cluster_size,expression_family_hash,ops_signature,expression
1,bk_replay_priority,579b91fa7699467e04d671e3,phase3bj_large_1min_013168,1,pure_fresh_cross,close|volume|vwap,0.09413735425,0.06492792587,-0.09413735425,1,-0.0003102126913,4,false,false,true,1,1,bk_metric_001,57,4049bcf38464282d0c298b3f,CSRank>Sub>ZScore>Sub>ZScore>Delta>ZScore>Delta>ZScore>Sub>ZScore>Delta>ZScore>Delta,"CSRank(Sub(ZScore(Sub(ZScore(Delta($volume,15)),ZScore(Delta($vwap,15)))),ZScore(Sub(ZScore(Delta($volume,15)),ZScore(Delta($close,15))))))"
2,bk_replay_priority,3885a1e358e7b5d27ec6ee39,phase3bj_large_1min_006453,1,pure_fresh_cross,close|volume|vwap,0.06182046397,0.04789828453,0.06182046397,1,0.0002799543106,4,false,false,true,1,1,bk_metric_002,7,2dbbd31e66a862a4b8a90052,CSRank>Div>ZScore>Sub>ZScore>Delta>ZScore>Delta>Add>Abs>ZScore>Sub>ZScore>Delta>ZScore>Delta,"CSRank(Div(ZScore(Sub(ZScore(Delta($volume,10)),ZScore(Delta($close,10)))),Add(Abs(ZScore(Sub(ZScore(Delta($volume,10)),ZScore(Delta($vwap,10))))),0.000001)))"
3,bk_replay_priority,b68c515d47ec76c97d51f2db,phase3bj_large_1min_009813,30,pure_fresh_cross,close|m1_first30_vwap|vwap,0.05637560609,0.04527380747,-0.05637560609,1,-0.0001628664264,3,false,false,true,1,1,bk_metric_001,57,ee127b6aacd66a17d9ade2cd,CSRank>Sub>ZScore>Div>Std>Add>Abs>Mean>ZScore>Div>Sub>Add>Abs,"CSRank(Sub(ZScore(Div(Std($close,20),Add(Abs(Mean($close,20)),0.000001))),ZScore(Div(Sub($m1_first30_vwap,$vwap),Add(Abs($vwap),0.000001)))))"
4,bk_replay_priority,c32780d6a803e8a4944e7918,phase3bj_large_1min_001478,5,opening_vwap_residual,close|m1_first30_vwap,0.05560990897,0.04956236721,0.05560990897,1,0.0002167517485,4,false,false,true,3,3,bk_metric_002,7,b93a3513bb395e7a3b704013,CSRank>Div>Sub>Add>Abs,"CSRank(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001)))"
5,bk_watchlist,24d600ec6ff7de63e1dfdb1e,phase3bj_large_1min_009371,5,pure_fresh_cross,amount|close|m1_first30_vwap,0.05322367674,0.04768095896,0.05322367674,1,0.0002165799493,4,false,false,true,2,2,bk_metric_002,7,1cf705c234d8eafe07d5e427,CSRank>Div>ZScore>Div>Sub>Add>Abs>Add>Abs>ZScore>Div>Delta>Add>Abs>Add>Std,"CSRank(Div(ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001))),Add(Abs(ZScore(Div(Delta($amount,5),Add(Abs(Add(Std($close,5),0.000001)),0.000001)))),0.000001)))"
6,bk_watchlist,419f7392d16e13d68d9a98b4,phase3bj_large_1min_001473,5,opening_vwap_residual,close|m1_first15_vwap,0.05250328791,0.04754717727,0.05250328791,1,0.0002100421764,4,false,false,true,3,3,bk_metric_002,7,b93a3513bb395e7a3b704013,CSRank>Div>Sub>Add>Abs,"CSRank(Div(Sub($m1_first15_vwap,$close),Add(Abs($close),0.000001)))"
7,bk_watchlist,bee893fb4b4ca06592f59e3d,phase3bj_large_1min_010202,5,pure_fresh_cross,amount|close|m1_first15_vwap|vwap,0.05198305419,0.04691230238,0.05198305419,1,0.0002096103315,4,false,false,true,2,2,bk_metric_002,7,cc747a69da23b0738836eba3,CSRank>Add>ZScore>Div>Sub>Add>Abs>ZScore>Mul>ZScore>Delta>Neg>ZScore>Delta,"CSRank(Add(ZScore(Div(Sub($m1_first15_vwap,$close),Add(Abs($close),0.000001))),ZScore(Mul(ZScore(Delta($amount,2)),Neg(ZScore(Delta($vwap,2)))))))"
8,bk_watchlist,43b1dd73cd3e8139f9fd5418,phase3bj_large_1min_009747,5,pure_fresh_cross,amount|close|m1_first15_vwap|vwap,0.05191256911,0.0470279087,0.05191256911,1,0.0002196470589,4,false,false,true,2,2,bk_metric_002,7,cc747a69da23b0738836eba3,CSRank>Add>ZScore>Div>Sub>Add>Abs>ZScore>Mul>ZScore>Delta>Neg>ZScore>Delta,"CSRank(Add(ZScore(Div(Sub($m1_first15_vwap,$close),Add(Abs($close),0.000001))),ZScore(Mul(ZScore(Delta($amount,10)),Neg(ZScore(Delta($vwap,10)))))))"
9,bk_watchlist,5f4ce07dfb8fe165948c9846,phase3bj_large_1min_011116,30,pure_fresh_cross,amount|close|m1_first15_vwap|m1_first5_amount,0.05153235478,0.04953213619,-0.05153235478,1,-0.0002738136828,4,false,false,true,1,1,bk_metric_001,57,a5596f813770b93f744a60c2,CSRank>Sub>ZScore>Div>Add>Abs>Mean>ZScore>Div>Sub>Add>Abs,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs(Mean($amount,30)),0.000001))),ZScore(Div(Sub($m1_first15_vwap,$close),Add(Abs($close),0.000001)))))"
10,bk_watchlist,43774a6954f66bee2f7a1dd9,phase3bj_large_1min_010985,5,pure_fresh_cross,amount|close|m1_first30_vwap|m1_first5_vol,0.0514239634,0.04672687129,0.0514239634,1,0.0001663613501,4,false,false,true,1,1,bk_metric_002,7,12951af0569ecd3de899d739,CSRank>Div>ZScore>Div>Sub>Add>Abs>Add>Abs>ZScore>Sub>ZScore>ZScore>Mean,"CSRank(Div(ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001))),Add(Abs(ZScore(Sub(ZScore($m1_first5_vol),ZScore(Mean($amount,30))))),0.000001)))"
