candidate_id,expression_hash,expression,factor_lane,source_lane,source_generator,fields,fields_list,max_window,search_memory_key,expected_direction,x0_r3_role,note
phase3bo_mature_bridge_00001,294d2338c3c9061ab9a9b3b5,"CSRank(Sub(ZScore($m1_first15_vwap_return_vs_open),ZScore(Delta($ret_1m,30))))",opening_divergence_representative,phase3bo_bn_representative,phase3bo_mature_cem_bridge_true1min_pack_v1,m1_first15_vwap_return_vs_open|ret_1m,"['m1_first15_vwap_return_vs_open', 'ret_1m']",30,phase3bo:294d2338c3c9061ab9a9b3b5,1,read_only_research_candidate,one representative of BN opening-vs-intraday divergence; lane capped to prevent collapse
phase3bo_mature_bridge_00002,7c7af5510f2d0dcda2d54342,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs(Mean($amount,2)),0.000001))),ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,2)),0.000001)))))",opening_amount_pressure_orthogonal,phase3bo_policy_quota_fresh,phase3bo_mature_cem_bridge_true1min_pack_v1,amount|m1_first5_amount|m1_first5_vol|volume,"['amount', 'm1_first5_amount', 'm1_first5_vol', 'volume']",2,phase3bo:7c7af5510f2d0dcda2d54342,1,read_only_research_candidate,opening amount pressure net of share-volume pressure
phase3bo_mature_bridge_00003,c11855ff467d414b389afff4,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs(Mean($amount,2)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",opening_range_location,phase3bo_policy_quota_fresh,phase3bo_mature_cem_bridge_true1min_pack_v1,amount|m1_first5_amount|m1_first5_range|open,"['amount', 'm1_first5_amount', 'm1_first5_range', 'open']",2,phase3bo:c11855ff467d414b389afff4,1,read_only_research_candidate,opening amount impulse gated by opening range
phase3bo_mature_bridge_00004,799b41475264528f179db987,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs(Mean($amount,3)),0.000001))),ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,3)),0.000001)))))",opening_amount_pressure_orthogonal,phase3bo_policy_quota_fresh,phase3bo_mature_cem_bridge_true1min_pack_v1,amount|m1_first5_amount|m1_first5_vol|volume,"['amount', 'm1_first5_amount', 'm1_first5_vol', 'volume']",3,phase3bo:799b41475264528f179db987,1,read_only_research_candidate,opening amount pressure net of share-volume pressure
phase3bo_mature_bridge_00005,75c132e9e3a72cbd514f640a,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs(Mean($amount,3)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",opening_range_location,phase3bo_policy_quota_fresh,phase3bo_mature_cem_bridge_true1min_pack_v1,amount|m1_first5_amount|m1_first5_range|open,"['amount', 'm1_first5_amount', 'm1_first5_range', 'open']",3,phase3bo:75c132e9e3a72cbd514f640a,1,read_only_research_candidate,opening amount impulse gated by opening range
phase3bo_mature_bridge_00006,20fb2f7887c4f4a4eccb691e,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs(Mean($amount,5)),0.000001))),ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,5)),0.000001)))))",opening_amount_pressure_orthogonal,phase3bo_policy_quota_fresh,phase3bo_mature_cem_bridge_true1min_pack_v1,amount|m1_first5_amount|m1_first5_vol|volume,"['amount', 'm1_first5_amount', 'm1_first5_vol', 'volume']",5,phase3bo:20fb2f7887c4f4a4eccb691e,1,read_only_research_candidate,opening amount pressure net of share-volume pressure
phase3bo_mature_bridge_00007,fe988de4441e0bacb95d7cbf,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs(Mean($amount,5)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",opening_range_location,phase3bo_policy_quota_fresh,phase3bo_mature_cem_bridge_true1min_pack_v1,amount|m1_first5_amount|m1_first5_range|open,"['amount', 'm1_first5_amount', 'm1_first5_range', 'open']",5,phase3bo:fe988de4441e0bacb95d7cbf,1,read_only_research_candidate,opening amount impulse gated by opening range
phase3bo_mature_bridge_00008,5dfa17d58219bf8407976760,"CSRank(Sub(ZScore(Div($m1_first15_amount,Add(Abs(Mean($amount,2)),0.000001))),ZScore(Div($m1_first15_vol,Add(Abs(Mean($volume,2)),0.000001)))))",opening_amount_pressure_orthogonal,phase3bo_policy_quota_fresh,phase3bo_mature_cem_bridge_true1min_pack_v1,amount|m1_first15_amount|m1_first15_vol|volume,"['amount', 'm1_first15_amount', 'm1_first15_vol', 'volume']",2,phase3bo:5dfa17d58219bf8407976760,1,read_only_research_candidate,opening amount pressure net of share-volume pressure
phase3bo_mature_bridge_00009,824dff05fbc55413499d6c94,"CSRank(Mul(ZScore(Div($m1_first15_amount,Add(Abs(Mean($amount,2)),0.000001))),ZScore(Div($m1_first15_range,Add(Abs($open),0.000001)))))",opening_range_location,phase3bo_policy_quota_fresh,phase3bo_mature_cem_bridge_true1min_pack_v1,amount|m1_first15_amount|m1_first15_range|open,"['amount', 'm1_first15_amount', 'm1_first15_range', 'open']",2,phase3bo:824dff05fbc55413499d6c94,1,read_only_research_candidate,opening amount impulse gated by opening range
phase3bo_mature_bridge_00010,c5ef5cb176ee131ffe7fbb67,"CSRank(Sub(ZScore(Div($m1_first15_amount,Add(Abs(Mean($amount,3)),0.000001))),ZScore(Div($m1_first15_vol,Add(Abs(Mean($volume,3)),0.000001)))))",opening_amount_pressure_orthogonal,phase3bo_policy_quota_fresh,phase3bo_mature_cem_bridge_true1min_pack_v1,amount|m1_first15_amount|m1_first15_vol|volume,"['amount', 'm1_first15_amount', 'm1_first15_vol', 'volume']",3,phase3bo:c5ef5cb176ee131ffe7fbb67,1,read_only_research_candidate,opening amount pressure net of share-volume pressure
