expression_hash,expected_candidate_id,actual_candidate_id,expected_generator_arm,actual_generator_arm,lineage_consistent
3c2f227b538dbe9947120a88,phase3cp_lt_event_00060,phase3cp_lt_event_00060,event_state,event_state,true
f3dbec9a8923513e871633e4,phase3cp_lt_event_00058,phase3cp_lt_event_00058,event_state,event_state,true
a2816940d50d021f250e25ba,phase3cp_lt_event_00056,phase3cp_lt_event_00056,event_state,event_state,true
3bf158d6e70d9b6c5d9d0d41,phase3cp_lt_event_00057,phase3cp_lt_event_00057,event_state,event_state,true
990a71d3997fe06d626da78f,phase3cp_lt_event_00059,phase3cp_lt_event_00059,event_state,event_state,true
597ccf00b8db3b1c7c9f5ab8,phase3cp_lt_event_00042,phase3cp_lt_event_00042,event_state,event_state,true
cc02a1c0f793cdb1188a87d2,phase3cp_lt_event_00043,phase3cp_lt_event_00043,event_state,event_state,true
32ffca947fc347549c12a8d2,phase3cp_lt_event_00045,phase3cp_lt_event_00045,event_state,event_state,true
985d55e5f11e8b027b1e56f8,phase3cp_lt_event_00044,phase3cp_lt_event_00044,event_state,event_state,true
f9812590e1f9598c426a29b2,phase3cp_lt_event_00041,phase3cp_lt_event_00041,event_state,event_state,true
5f5de57bd90bc2c4cf410405,phase3cp_lt_event_00050,phase3cp_lt_event_00050,event_state,event_state,true
a1947bd86be29ff58f05818c,phase3cp_lt_event_00035,phase3cp_lt_event_00035,event_state,event_state,true
633f46a493351dfbff4fb116,phase3cp_lt_event_00054,phase3cp_lt_event_00054,event_state,event_state,true
4b61f182bfb7134749851fcb,phase3cp_lt_event_00039,phase3cp_lt_event_00039,event_state,event_state,true
5480427df40fffdb9999405b,phase3cp_lt_event_00053,phase3cp_lt_event_00053,event_state,event_state,true
02637c8351651b632a5a881d,phase3cp_lt_event_00047,phase3cp_lt_event_00047,event_state,event_state,true
142940fd433b54dd13c4ce2f,phase3cp_lt_event_00038,phase3cp_lt_event_00038,event_state,event_state,true
944e9a3e4f35d15a6493ebec,phase3cp_lt_event_00051,phase3cp_lt_event_00051,event_state,event_state,true
9a2b24853a17e6410543093d,phase3cp_lt_event_00036,phase3cp_lt_event_00036,event_state,event_state,true
63acefffab51255a534bc382,phase3cp_lt_event_00032,phase3cp_lt_event_00032,event_state,event_state,true
c807a3760ea9fb323b60287c,phase3cp_lt_event_00033,phase3cp_lt_event_00033,event_state,event_state,true
e9e0d79952f2d1c637f93ae7,phase3cp_lt_event_00048,phase3cp_lt_event_00048,event_state,event_state,true
91472e1557336a299e14e5b1,phase3cp_lt_event_00034,phase3cp_lt_event_00034,event_state,event_state,true
b252804335436f5bd6df8292,phase3cp_lt_event_00049,phase3cp_lt_event_00049,event_state,event_state,true
