"asset","lane","path","exists","file_count","size_gb","sample_files"
"stock_1min_2023_2025_symbol_parquet","true1min_base","G:\Project_V7_Rotation\data\cn_public_enrichment\cn_local_minute_daily_silver_v1_20260531\stock_1min_2023_2025_symbol_parquet","True","15582","0.0241","G:\Project_V7_Rotation\data\cn_public_enrichment\cn_local_minute_daily_silver_v1_20260531\stock_1min_2023_2025_symbol_parquet\year=2023\code=000001.SZ\part.parquet|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_local_minute_daily_silver_v1_20260531\stock_1min_2023_2025_symbol_parquet\year=2023\code=000002.SZ\part.parquet|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_local_minute_daily_silver_v1_20260531\stock_1min_2023_2025_symbol_parquet\year=2023\code=000004.SZ\part.parquet|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_local_minute_daily_silver_v1_20260531\stock_1min_2023_2025_symbol_parquet\year=2023\code=000006.SZ\part.parquet|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_local_minute_daily_silver_v1_20260531\stock_1min_2023_2025_symbol_parquet\year=2023\code=000007.SZ\part.parquet"
"stock_1min_2026_parquet_by_date","true1min_base","G:\Project_V7_Rotation\data\cn_public_enrichment\cn_local_minute_daily_silver_v1_20260531\stock_1min_2026_parquet_by_date","True","63","1.413","G:\Project_V7_Rotation\data\cn_public_enrichment\cn_local_minute_daily_silver_v1_20260531\stock_1min_2026_parquet_by_date\date=20260105.parquet|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_local_minute_daily_silver_v1_20260531\stock_1min_2026_parquet_by_date\date=20260106.parquet|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_local_minute_daily_silver_v1_20260531\stock_1min_2026_parquet_by_date\date=20260107.parquet|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_local_minute_daily_silver_v1_20260531\stock_1min_2026_parquet_by_date\date=20260108.parquet|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_local_minute_daily_silver_v1_20260531\stock_1min_2026_parquet_by_date\date=20260109.parquet"
"hfq_daily_2024_2025","lagged_context_sidecar_source","G:\Project_V7_Rotation\data\cn_public_enrichment\cn_local_minute_daily_silver_v1_20260531\hfq_daily_2024_2025","True","2","0.2637","G:\Project_V7_Rotation\data\cn_public_enrichment\cn_local_minute_daily_silver_v1_20260531\hfq_daily_2024_2025\year=2024\part.parquet|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_local_minute_daily_silver_v1_20260531\hfq_daily_2024_2025\year=2025\part.parquet"
"hfq_daily_2026","lagged_context_sidecar_source","G:\Project_V7_Rotation\data\cn_public_enrichment\cn_local_minute_daily_silver_v1_20260531\hfq_daily_2026","True","1","0.0454","G:\Project_V7_Rotation\data\cn_public_enrichment\cn_local_minute_daily_silver_v1_20260531\hfq_daily_2026\hfq_daily_2026.parquet"
"fundamental_top200_aggregated","lagged_context_source_smoke","G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_batch_v1_20260531\aggregated_v1","True","13","0.034","G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_batch_v1_20260531\aggregated_v1\aggregation_report.json|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_batch_v1_20260531\aggregated_v1\coverage_by_dataset_symbol.csv|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_batch_v1_20260531\aggregated_v1\error_manifest.csv|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_batch_v1_20260531\aggregated_v1\field_contract.csv|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_batch_v1_20260531\aggregated_v1\balance_sheet_report_em\balance_sheet_report_em.parquet"
"fundamental_fullA_partitioned_pit","lagged_context_source","G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_partitioned_pit_v1_20260603","True","26193","3.0201","G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_partitioned_pit_v1_20260603\CN_FUNDAMENTAL_PARTITIONED_PIT_V1_20260603.md|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_partitioned_pit_v1_20260603\acceptance\partitioned_acceptance.csv|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_partitioned_pit_v1_20260603\acceptance\partitioned_errors.csv|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_partitioned_pit_v1_20260603\metadata\field_contract.csv|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_partitioned_pit_v1_20260603\metadata\pit_availability_table.csv"
"fundamental_fullA_silver_gold_pit","lagged_context_source","G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603","True","3","0.9864","G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_cashflow_long.parquet|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_profit_long.parquet"
"zzshare_limit_sentiment_pack","event_state_and_lagged_context_source","G:\Project_V7_Rotation\data\cn_public_enrichment\cn_zzshare_limit_sentiment_pack_v1_20260602","True","2537","0.1436","G:\Project_V7_Rotation\data\cn_public_enrichment\cn_zzshare_limit_sentiment_pack_v1_20260602\CN_ZZSHARE_LIMIT_SENTIMENT_PACK_V1_20260602.md|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_zzshare_limit_sentiment_pack_v1_20260602\coverage_by_dataset.csv|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_zzshare_limit_sentiment_pack_v1_20260602\field_contract.csv|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_zzshare_limit_sentiment_pack_v1_20260602\manifest.csv|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_zzshare_limit_sentiment_pack_v1_20260602\canonical_v1\canonicalization_report.json"
"zzshare_uplimit_history_silver","event_state_source","G:\Project_V7_Rotation\data\cn_public_enrichment\cn_zzshare_uplimit_history_silver_v1_20260531","True","7","0.0399","G:\Project_V7_Rotation\data\cn_public_enrichment\cn_zzshare_uplimit_history_silver_v1_20260531\conversion_report.json|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_zzshare_uplimit_history_silver_v1_20260531\coverage_summary.csv|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_zzshare_uplimit_history_silver_v1_20260531\field_contract.csv|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_zzshare_uplimit_history_silver_v1_20260531\review_uplimit_reason\review_uplimit_reason.parquet|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_zzshare_uplimit_history_silver_v1_20260531\review_uplimit_reason_open\review_uplimit_reason_open.parquet"
"rzrq_daily_silver","lagged_context_source","G:\Project_V7_Rotation\data\cn_public_enrichment\cn_public_rzrq_daily_silver_v1_20260530","True","3","0.4026","G:\Project_V7_Rotation\data\cn_public_enrichment\cn_public_rzrq_daily_silver_v1_20260530\conversion_report.json|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_public_rzrq_daily_silver_v1_20260530\rzrq_field_contract.csv|G:\Project_V7_Rotation\data\cn_public_enrichment\cn_public_rzrq_daily_silver_v1_20260530\rzrq_margin_xsection_daily.parquet"
