expression_hash,candidate_id,phase3bk_rank,factor_lane,fields,expression,horizon_min,shard_count,ic_mean,ic_abs_mean,ic_hit_rate,spread_mean,spread_abs_mean,spread_hit_rate,wrong_lag_prev_ic_mean,wrong_lag_future_ic_mean,mean_one_way_turnover,signal_unique_min,signal_nonnull_sum,eval_rows_sum,expected_direction,primary_horizon_min,aligned_ic_mean,aligned_spread_mean,blocker_flags,phase3bl_decision,source_generator,source_lane,policy_score,note,open_direction,abs_aligned_ic_mean,positive_horizon_count,phase3bp_blocker_flags,phase3bp_decision
f965906766b187f89928b48d,phase3bp_event_00002,,typed_event_state::event_payload_state::event_inverted,evt_uplimit_type_code,"Neg(CSRank(WindowStateCount($evt_uplimit_type_code,10)))",1,2,,,,,,,,,,0,0,38983,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,0.07,typed event atom evt_uplimit_type_code_window_state_count_10 role=event_state_search class=event_state,short_top,,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
eeb6171e8ae069ddb72da088,phase3bp_event_00003,,typed_event_state::event_payload_state::event_inverted,evt_uplimit_auction_money,"Neg(CSRank(StateDwell($evt_uplimit_auction_money,5)))",1,2,,,,,,,,,,1,7,38983,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,0.07,typed event atom evt_uplimit_auction_money_state_dwell_5 role=event_state_search class=event_state,short_top,,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
e99511a5c5d00ffd7966fead,phase3bp_event_00004,,typed_event_state::event_payload_state::event_rank,evt_uplimit_auction_buy,"CSRank(WindowStateCount($evt_uplimit_auction_buy,10))",1,2,,,,,,,,,,0,0,38983,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,0.07,typed event atom evt_uplimit_auction_buy_window_state_count_10 role=event_state_search class=event_state,short_top,,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
da9b2d92991b98c3dde77526,phase3bp_event_00007,,typed_event_state::event_payload_state::event_inverted,evt_uplimit_auction_buy,"Neg(CSRank(StateDwell($evt_uplimit_auction_buy,5)))",1,2,,,,,,,,,,1,7,38983,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,0.07,typed event atom evt_uplimit_auction_buy_state_dwell_5 role=event_state_search class=event_state,short_top,,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
d04a40a262d710a15ba4ac67,phase3bp_event_00008,,typed_event_state::event_payload_state::event_inverted,evt_uplimit_auction_money,"Neg(CSRank(WindowStateCount($evt_uplimit_auction_money,10)))",1,2,,,,,,,,,,0,0,38983,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,0.07,typed event atom evt_uplimit_auction_money_window_state_count_10 role=event_state_search class=event_state,short_top,,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
bc57ab5e618048783a7e646b,phase3bp_event_00012,,typed_event_state::event_payload_state::event_rank,evt_uplimit_auction_offer,"CSRank(WindowStateCount($evt_uplimit_auction_offer,10))",1,2,,,,,,,,,,0,0,38983,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,0.07,typed event atom evt_uplimit_auction_offer_window_state_count_10 role=event_state_search class=event_state,short_top,,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
af7e57ed2cf5764a877878f9,phase3bp_event_00016,,typed_event_state::event_payload_state::event_inverted,evt_uplimit_fd_close,"Neg(CSRank(WindowStateCount($evt_uplimit_fd_close,10)))",1,2,,,,,,,,,,0,0,38983,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,0.07,typed event atom evt_uplimit_fd_close_window_state_count_10 role=event_state_search class=event_state,short_top,,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
acc822473f60f4985c1a5810,phase3bp_event_00018,,typed_event_state::event_payload_state::event_rank,evt_uplimit_up_limit_keep_times,"CSRank(WindowStateCount($evt_uplimit_up_limit_keep_times,10))",1,2,,,,,,,,,,0,0,38983,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,0.07,typed event atom evt_uplimit_up_limit_keep_times_window_state_count_10 role=event_state_search class=event_state,short_top,,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
a66132cb0a6ce4a38015ac19,phase3bp_event_00019,,typed_event_state::event_payload_state::event_rank,evt_uplimit_auction_pre1max_ratio,"CSRank(WindowStateCount($evt_uplimit_auction_pre1max_ratio,10))",1,2,,,,,,,,,,0,0,38983,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,0.07,typed event atom evt_uplimit_auction_pre1max_ratio_window_state_count_10 role=event_state_search class=event_state,short_top,,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
ff8c6ad00332048936263d3f,phase3bp_event_00021,,typed_event_interaction::event_payload_state::coverage_guarded_context::event_x_state,amount|ctx_zls_strong|evt_uplimit_up_limit_keep_times,"CSRank(Mul(CSRank(WindowStateCount($evt_uplimit_up_limit_keep_times,10)),CSRank(SafeCSResidual($ctx_zls_strong,$amount,20,5,0.8))))",1,2,,,,,,,,,,0,0,38983,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,0.09,typed event interaction evt_uplimit_up_limit_keep_times_window_state_count_10 x ctx_zls_strong_safe_residual_amount event_x_state,short_top,,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
