candidate_file,row_number,candidate_id,expression_hash,fields,field_lanes,missing_schema_fields,blocked_or_future_fields,signal_nonnull_sum,effective_signal_used,decision,blockers
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,1,phase3bp_event_00001,ff8c6ad00332048936263d3f,amount|ctx_zls_strong|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,2,phase3bp_event_00002,ff4ced6a55185facaab61319,amount|ctx_ths_hot_last_pct|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,3,phase3bp_event_00003,fcf9b5e12740fbf8350d319c,amount|ctx_zls_df_num|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,4,phase3bp_event_00004,fc770d6b18cb4e5c05ab3763,amount|ctx_sent_lb_3_num|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,5,phase3bp_event_00005,fbc868f84b60b94a37eeac32,amount|ctx_ths_hot_circulation_value|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,6,phase3bp_event_00007,f9f2cd13d24065190b78053f,amount|ctx_sent_mian_num|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,7,phase3bp_event_00008,f943ef5af374d2d642403799,amount|ctx_sent_downlimit_num|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,8,phase3bp_event_00009,f86020d90a53db5818a61e72,amount|ctx_sent_lb_2_num|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,9,phase3bp_event_00011,f5d58051405c4fbf7b7ab7d3,amount|ctx_sent_ditian_num|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,10,phase3bp_event_00012,f4d0f4e9190c23955c8e1bab,amount|ctx_sent_downlimit_num|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,11,phase3bp_event_00013,f3197cabc11fe1ebefa35062,amount|ctx_sent_lt5_num|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,12,phase3bp_event_00014,f1348594e2b27dff1a4174ff,amount|ctx_ths_hot_rank_diff|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
