expression_hash,candidate_id,phase3bk_rank,factor_lane,fields,expression,horizon_min,shard_count,ic_mean,ic_abs_mean,ic_hit_rate,spread_mean,spread_abs_mean,spread_hit_rate,wrong_lag_prev_ic_mean,wrong_lag_future_ic_mean,mean_one_way_turnover,signal_unique_min,signal_nonnull_sum,eval_rows_sum,expected_direction,primary_horizon_min,aligned_ic_mean,aligned_spread_mean,blocker_flags,phase3bl_decision
f3bc9698450d8d8b0e9781c3,,,sidecar_context::hot_price,ctx_ths_hot_last_price,"Neg(CSRank(MaskedZScore($ctx_ths_hot_last_price,60,0.8)))",1,1,,,,,,,,,,0,0,2589,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch
f3bc9698450d8d8b0e9781c3,,,sidecar_context::hot_price,ctx_ths_hot_last_price,"Neg(CSRank(MaskedZScore($ctx_ths_hot_last_price,60,0.8)))",5,1,,,,,,,,,,0,0,2589,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch
f3bc9698450d8d8b0e9781c3,,,sidecar_context::hot_price,ctx_ths_hot_last_price,"Neg(CSRank(MaskedZScore($ctx_ths_hot_last_price,60,0.8)))",15,1,,,,,,,,,,0,0,2589,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch
f3bc9698450d8d8b0e9781c3,,,sidecar_context::hot_price,ctx_ths_hot_last_price,"Neg(CSRank(MaskedZScore($ctx_ths_hot_last_price,60,0.8)))",30,1,,,,,,,,,,0,0,2589,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch
d414a051a71e40edc9e2896e,,,sidecar_context::hot_pct,ctx_ths_hot_last_pct,"Neg(CSRank(MaskedZScore($ctx_ths_hot_last_pct,60,0.8)))",1,1,,,,,,,,,,0,0,2589,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch
d414a051a71e40edc9e2896e,,,sidecar_context::hot_pct,ctx_ths_hot_last_pct,"Neg(CSRank(MaskedZScore($ctx_ths_hot_last_pct,60,0.8)))",5,1,,,,,,,,,,0,0,2589,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch
d414a051a71e40edc9e2896e,,,sidecar_context::hot_pct,ctx_ths_hot_last_pct,"Neg(CSRank(MaskedZScore($ctx_ths_hot_last_pct,60,0.8)))",15,1,,,,,,,,,,0,0,2589,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch
d414a051a71e40edc9e2896e,,,sidecar_context::hot_pct,ctx_ths_hot_last_pct,"Neg(CSRank(MaskedZScore($ctx_ths_hot_last_pct,60,0.8)))",30,1,,,,,,,,,,0,0,2589,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch
60f20e2224832791975c6747,,,sidecar_context::pb,ctx_hfq_pb,"CSRank(MaskedZScore($ctx_hfq_pb,60,0.8))",1,1,-0.05542633023,0.120503578,0.5714285714,-0.001454715966,0.001770994507,0.4285714286,-0.005536985253,-0.05542633023,0.1105254121,1282,2574,2589,1,0,-0.05542633023,-0.001454715966,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch
60f20e2224832791975c6747,,,sidecar_context::pb,ctx_hfq_pb,"CSRank(MaskedZScore($ctx_hfq_pb,60,0.8))",5,1,0.05753623135,0.1434831884,0.8571428571,-0.00067304225,0.002318094137,0.8571428571,0.1172613282,0.05753623135,0.1105254121,1282,2574,2589,1,0,0.05753623135,-0.00067304225,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch
60f20e2224832791975c6747,,,sidecar_context::pb,ctx_hfq_pb,"CSRank(MaskedZScore($ctx_hfq_pb,60,0.8))",15,1,-0.03265133593,0.08586459882,0.4285714286,-0.0008967058701,0.001642852256,0.4285714286,-0.008862911774,-0.03265133593,0.1105254121,1282,2574,2589,1,0,-0.03265133593,-0.0008967058701,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch
60f20e2224832791975c6747,,,sidecar_context::pb,ctx_hfq_pb,"CSRank(MaskedZScore($ctx_hfq_pb,60,0.8))",30,1,0.03855348462,0.07929824464,0.4285714286,0.0002044947881,0.0015337433,0.7142857143,0.05475593712,0.03855348462,0.1105254121,1282,2574,2589,1,0,0.03855348462,0.0002044947881,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch
