"stage","chunk","expected_rows","final_rows","exit_code","stderr_bytes"
"stage0","candidate_subchunk_0001","8","0",,"1186"
"stage0","candidate_subchunk_0002","8","8","0","0"
"stage0","candidate_subchunk_0003","8","8","0","0"
"stage0","candidate_subchunk_0004","8","8","0","0"
"stage0","candidate_subchunk_0005","8","8","0","0"
"stage0","candidate_subchunk_0006","8","8","0","0"
"stage0","candidate_subchunk_0007","8","8","0","0"
"stage0","candidate_subchunk_0008","8","8","0","0"
"stage0","candidate_subchunk_0009","8","8","0","0"
"stage0","candidate_subchunk_0010","8","8","0","0"
"stage0","candidate_subchunk_0011","8","8","0","0"
"stage0","candidate_subchunk_0012","8","8","0","0"
"stage0","candidate_subchunk_0013","8","8","0","0"
"stage0","candidate_subchunk_0014","8","8","0","0"
"stage0","candidate_subchunk_0015","8","8","0","0"
"stage0","candidate_subchunk_0016","8","8","0","0"
"stage0","candidate_subchunk_0017","8","8","0","0"
"stage0","candidate_subchunk_0018","8","8","0","0"
"stage0","candidate_subchunk_0019","8","8","0","0"
"stage0","candidate_subchunk_0020","8","8","0","0"
"stage0","candidate_subchunk_0021","8","8","0","0"
"stage0","candidate_subchunk_0022","8","8","0","0"
"stage0","candidate_subchunk_0023","8","8","0","0"
"stage0","candidate_subchunk_0024","8","8","0","0"
"stage0","candidate_subchunk_0025","8","8","0","0"
"stage0","candidate_subchunk_0026","8","8","0","0"
"stage0","candidate_subchunk_0027","8","8","0","0"
"stage0","candidate_subchunk_0028","8","8","0","0"
"stage0","candidate_subchunk_0029","8","8","0","0"
"stage0","candidate_subchunk_0030","8","8","0","0"
"stage0","candidate_subchunk_0031","8","8","0","0"
"stage0","candidate_subchunk_0032","8","8","0","0"
"stage0","candidate_subchunk_0033","8","8","0","0"
"stage0","candidate_subchunk_0034","8","8","0","0"
"stage0","candidate_subchunk_0035","8","8","0","0"
"stage0","candidate_subchunk_0036","8","8","0","0"
"stage0","candidate_subchunk_0037","8","8","0","0"
"stage0","candidate_subchunk_0038","8","8","0","0"
"stage0","candidate_subchunk_0039","8","8","0","0"
"stage0","candidate_subchunk_0040","8","8","0","0"
"stage0","candidate_subchunk_0041","8","8","0","0"
"stage0","candidate_subchunk_0042","8","8","0","0"
