candidate_id,expression_hash,generator_arm,factor_lane,expression,split,horizon_min,curve_count,day_count,net_mean_return,raw_mean_return,net_hit_rate,minute_sortino,day_sortino,day_mcmc_sortino_p25,day_mcmc_sortino_median,day_mcmc_prob_sortino_gt_0,max_drawdown,mean_one_way_turnover,rank_ic_mean,rank_ic_hit_rate,rank_ic_loss,rank_ic_obs
phase3cp_13121,7bd665d18ddba2857270627d,typed_ast_fresh,rx_interaction::rx_opening_amount::rx_intraday_price_location::product,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Delta($vwap,15))))",train,equal_weight_horizon_sleeves,4,4,-2.41196e-05,0.0003986669,0.5,-0.16135936,-0.16135936,-0.47588582,-0.16135936,0.40827338,-0.00029708,0.84557292,0.12006669,1,-0.12006669,4
phase3cp_13121,7bd665d18ddba2857270627d,typed_ast_fresh,rx_interaction::rx_opening_amount::rx_intraday_price_location::product,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Delta($vwap,15))))",train,1,4,4,-2.41196e-05,0.0003986669,0.5,-0.16135936,-0.16135936,-0.47588582,-0.16135936,0.37142857,-0.00029708,0.84557292,0.12006669,1,-0.12006669,4
phase3cp_13121,7bd665d18ddba2857270627d,typed_ast_fresh,rx_interaction::rx_opening_amount::rx_intraday_price_location::product,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Delta($vwap,15))))",validation,equal_weight_horizon_sleeves,2,2,-0.0004097886,-1.11595e-05,0,-0.92736338,-0.92736338,-1,-0.92736338,0,-0.00081944,0.7972583,0.06027358,1,-0.06027358,2
phase3cp_13121,7bd665d18ddba2857270627d,typed_ast_fresh,rx_interaction::rx_opening_amount::rx_intraday_price_location::product,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Delta($vwap,15))))",validation,1,2,2,-0.0004097886,-1.11595e-05,0,-0.92736338,-0.92736338,-1,-1,0,-0.00081944,0.7972583,0.06027358,1,-0.06027358,2
phase3cp_13121,7bd665d18ddba2857270627d,typed_ast_fresh,rx_interaction::rx_opening_amount::rx_intraday_price_location::product,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Delta($vwap,15))))",holdout,equal_weight_horizon_sleeves,0,0,,,,,,,,,,,,,,0
phase3cp_13121,7bd665d18ddba2857270627d,typed_ast_fresh,rx_interaction::rx_opening_amount::rx_intraday_price_location::product,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Delta($vwap,15))))",holdout,1,0,0,,,,,,,,,,,,,,0
phase3cp_13122,533b74c9067c28c9937a6c29,typed_ast_fresh,rx_interaction::rx_opening_amount::rx_intraday_price_location::product,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Delta($vwap,20))))",train,equal_weight_horizon_sleeves,4,4,-0.0001865754,0.0002299525,0.5,-0.63810497,-0.63810497,-0.81356628,-0.63810497,0,-0.00082635,0.83305584,0.10870707,0.75,-0.10870707,4
phase3cp_13122,533b74c9067c28c9937a6c29,typed_ast_fresh,rx_interaction::rx_opening_amount::rx_intraday_price_location::product,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Delta($vwap,20))))",train,1,4,4,-0.0001865754,0.0002299525,0.5,-0.63810497,-0.63810497,-0.81356628,-0.63942154,0,-0.00082635,0.83305584,0.10870707,0.75,-0.10870707,4
phase3cp_13122,533b74c9067c28c9937a6c29,typed_ast_fresh,rx_interaction::rx_opening_amount::rx_intraday_price_location::product,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Delta($vwap,20))))",validation,equal_weight_horizon_sleeves,2,2,-0.0005029074,-8.81347e-05,0,-0.93221167,-0.93221167,-1,-1,0,-0.0010056,0.82954545,0.02099123,0.5,-0.02099123,2
phase3cp_13122,533b74c9067c28c9937a6c29,typed_ast_fresh,rx_interaction::rx_opening_amount::rx_intraday_price_location::product,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Delta($vwap,20))))",validation,1,2,2,-0.0005029074,-8.81347e-05,0,-0.93221167,-0.93221167,-1,-1,0,-0.0010056,0.82954545,0.02099123,0.5,-0.02099123,2
phase3cp_13122,533b74c9067c28c9937a6c29,typed_ast_fresh,rx_interaction::rx_opening_amount::rx_intraday_price_location::product,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Delta($vwap,20))))",holdout,equal_weight_horizon_sleeves,0,0,,,,,,,,,,,,,,0
phase3cp_13122,533b74c9067c28c9937a6c29,typed_ast_fresh,rx_interaction::rx_opening_amount::rx_intraday_price_location::product,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Delta($vwap,20))))",holdout,1,0,0,,,,,,,,,,,,,,0
phase3cp_13125,754b01bbb80d7c1bde2af5d0,typed_ast_fresh,rx_interaction::rx_opening_amount::rx_intraday_price_location::spread,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Delta($vwap,10))))",train,equal_weight_horizon_sleeves,4,4,-0.0002140356,0.0002209905,0.25,-0.71583741,-0.71583741,-0.95019653,-0.71583741,0.03193277,-0.00085596,0.87005208,0.04934975,0.75,-0.04934975,4
phase3cp_13125,754b01bbb80d7c1bde2af5d0,typed_ast_fresh,rx_interaction::rx_opening_amount::rx_intraday_price_location::spread,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Delta($vwap,10))))",train,1,4,4,-0.0002140356,0.0002209905,0.25,-0.71583741,-0.71583741,-0.95019653,-0.71583741,0.02675585,-0.00085596,0.87005208,0.04934975,0.75,-0.04934975,4
phase3cp_13125,754b01bbb80d7c1bde2af5d0,typed_ast_fresh,rx_interaction::rx_opening_amount::rx_intraday_price_location::spread,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Delta($vwap,10))))",validation,equal_weight_horizon_sleeves,2,2,-0.0002470399,0.0001676145,0.5,-0.59416065,-0.59416065,-1,-0.59416065,0,-0.000588,0.82930871,0.08089589,1,-0.08089589,2
phase3cp_13125,754b01bbb80d7c1bde2af5d0,typed_ast_fresh,rx_interaction::rx_opening_amount::rx_intraday_price_location::spread,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Delta($vwap,10))))",validation,1,2,2,-0.0002470399,0.0001676145,0.5,-0.59416065,-0.59416065,-1,-0.59416065,0,-0.000588,0.82930871,0.08089589,1,-0.08089589,2
phase3cp_13125,754b01bbb80d7c1bde2af5d0,typed_ast_fresh,rx_interaction::rx_opening_amount::rx_intraday_price_location::spread,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Delta($vwap,10))))",holdout,equal_weight_horizon_sleeves,0,0,,,,,,,,,,,,,,0
phase3cp_13125,754b01bbb80d7c1bde2af5d0,typed_ast_fresh,rx_interaction::rx_opening_amount::rx_intraday_price_location::spread,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Delta($vwap,10))))",holdout,1,0,0,,,,,,,,,,,,,,0
